country,year,energy_per_gdp,energy_per_capita,per_capita_electricity,population,primary_energy_consumption,gdp
Africa,1900,,,,140754896,,
Africa,1901,,,,,,
Africa,1902,,,,,,
Africa,1903,,,,,,
Africa,1904,,,,,,
Africa,1905,,,,,,
Africa,1906,,,,,,
Africa,1907,,,,,,
Africa,1908,,,,,,
Africa,1909,,,,,,
Africa,1910,,,,150280992,,
Africa,1911,,,,,,
Africa,1912,,,,,,
Africa,1913,,,,,,
Africa,1914,,,,,,
Africa,1915,,,,,,
Africa,1916,,,,,,
Africa,1917,,,,,,
Africa,1918,,,,,,
Africa,1919,,,,,,
Africa,1920,,,,164856080,,
Africa,1921,,,,,,
Africa,1922,,,,,,
Africa,1923,,,,,,
Africa,1924,,,,,,
Africa,1925,,,,,,
Africa,1926,,,,,,
Africa,1927,,,,,,
Africa,1928,,,,,,
Africa,1929,,,,,,
Africa,1930,,,,181280496,,
Africa,1931,,,,,,
Africa,1932,,,,,,
Africa,1933,,,,,,
Africa,1934,,,,,,
Africa,1935,,,,,,
Africa,1936,,,,,,
Africa,1937,,,,,,
Africa,1938,,,,,,
Africa,1939,,,,,,
Africa,1940,,,,200894592,,
Africa,1941,,,,,,
Africa,1942,,,,,,
Africa,1943,,,,,,
Africa,1944,,,,,,
Africa,1945,,,,,,
Africa,1946,,,,,,
Africa,1947,,,,,,
Africa,1948,,,,,,
Africa,1949,,,,,,
Africa,1950,,,,227794000,,
Africa,1951,,,,232328000,,
Africa,1952,,,,237096992,,
Africa,1953,,,,242092000,,
Africa,1954,,,,247311008,,
Africa,1955,,,,252748992,,
Africa,1956,,,,258408000,,
Africa,1957,,,,264292000,,
Africa,1958,,,,270407008,,
Africa,1959,,,,276760992,,
Africa,1960,,,,283360992,,
Africa,1961,,,,290214016,,
Africa,1962,,,,297323008,,
Africa,1963,,,,304683008,,
Africa,1964,,,,312292000,,
Africa,1965,,2178.898,,320147008,697.568,
Africa,1966,,2234.79,,328256992,733.585,
Africa,1967,,2197.198,,336631008,739.645,
Africa,1968,,2259.624,,345280000,780.203,
Africa,1969,,2255.87,,354215008,799.063,
Africa,1970,,2397.69,,363448000,871.436,
Africa,1971,,2539.449,,372984000,947.174,
Africa,1972,,2623.517,,382838016,1004.382,
Africa,1973,,2766.732,,393044000,1087.448,
Africa,1974,,2823.652,,403646016,1139.756,
Africa,1975,,2909.251,,414675008,1206.394,
Africa,1976,,3099.619,,426144000,1320.884,
Africa,1977,,3171.161,,438055008,1389.143,
Africa,1978,,3202.708,,450404000,1442.512,
Africa,1979,,3414.328,,463184000,1581.462,
Africa,1980,,3564.592,,476385984,1698.122,
Africa,1981,,3858.538,,490004000,1890.699,
Africa,1982,,4004.826,,504033984,2018.568,
Africa,1983,,3998.216,,518480000,2072.995,
Africa,1984,,4013.492,,533344992,2140.576,
Africa,1985,,4053.058,472.063,548625984,2223.613,
Africa,1986,,4034.592,478.64,564326976,2276.829,
Africa,1987,,4043.287,482.853,580424000,2346.821,
Africa,1988,,4216.726,494.758,596849024,2516.749,
Africa,1989,,4114.843,499.824,613512000,2524.506,
Africa,1990,,4136.532,505.943,630350016,2607.463,
Africa,1991,,4024.448,502.048,647344000,2605.202,
Africa,1992,,3986.869,493.626,664512000,2649.322,
Africa,1993,,3899.727,497.464,681868992,2659.103,
Africa,1994,,3913.764,502.499,699444992,2737.463,
Africa,1995,,3971.044,505.707,717270016,2848.311,
Africa,1996,,3977.007,519.734,735361024,2924.536,
Africa,1997,,3954.684,531.895,753737984,2980.796,
Africa,1998,,3919,526.009,772436992,3027.181,
